GamePk,home,away,Year
2019020001,Toronto Maple Leafs,Ottawa Senators,2019
2019020002,St. Louis Blues,Washington Capitals,2019
2019020003,Edmonton Oilers,Vancouver Canucks,2019
2019020004,Vegas Golden Knights,San Jose Sharks,2019
2019020005,Tampa Bay Lightning,Florida Panthers,2019
2019020006,New York Rangers,Winnipeg Jets,2019
2019020007,Pittsburgh Penguins,Buffalo Sabres,2019
2019020008,Carolina Hurricanes,Montréal Canadiens,2019
2019020009,Nashville Predators,Minnesota Wild,2019
2019020010,Dallas Stars,Boston Bruins,2019
2019020011,Colorado Avalanche,Calgary Flames,2019
2019020012,Anaheim Ducks,Arizona Coyotes,2019
2019020013,New Jersey Devils,Winnipeg Jets,2019
2019020014,New York Islanders,Washington Capitals,2019
2019020015,Columbus Blue Jackets,Toronto Maple Leafs,2019
2019020016,Philadelphia Flyers,Chicago Blackhawks,2019
2019020017,San Jose Sharks,Vegas Golden Knights,2019
2019020018,Buffalo Sabres,New Jersey Devils,2019
2019020019,Toronto Maple Leafs,Montréal Canadiens,2019
2019020020,Ottawa Senators,New York Rangers,2019
2019020021,Florida Panthers,Tampa Bay Lightning,2019
2019020022,Pittsburgh Penguins,Columbus Blue Jackets,2019
2019020023,Washington Capitals,Carolina Hurricanes,2019
2019020024,St. Louis Blues,Dallas Stars,2019
2019020025,Nashville Predators,Detroit Red Wings,2019
2019020026,Colorado Avalanche,Minnesota Wild,2019
2019020027,Arizona Coyotes,Boston Bruins,2019
2019020028,Calgary Flames,Vancouver Canucks,2019
2019020029,Edmonton Oilers,Los Angeles Kings,2019
2019020030,Anaheim Ducks,San Jose Sharks,2019
2019020031,Carolina Hurricanes,Tampa Bay Lightning,2019
2019020032,Detroit Red Wings,Dallas Stars,2019
2019020033,New York Islanders,Winnipeg Jets,2019
2019020034,Toronto Maple Leafs,St. Louis Blues,2019
2019020035,Columbus Blue Jackets,Buffalo Sabres,2019
2019020036,Florida Panthers,Carolina Hurricanes,2019
2019020037,New York Islanders,Edmonton Oilers,2019
